project,stage,algorithm,outputs,quality_or_failure_handling,pinned_evidence,menipy_relevance
OpenDrop,preprocessing,"RGB-to-gray; Gaussian 5x5; Scharr gradients; adaptive Gaussian threshold; connected components; Canny thinning",drop and needle edge candidates,"ROI is user supplied; component and gradient filtering",opendrop/features/pendant.py:extract_pendant_features@61b227b,Prototype a gradient-quality detector or QA channel
OpenDrop,needle,"Per-row left/right extrema followed by nonlinear needle fit",needle diameter axis rotation and residuals,"Rejects residuals >=1 px and excessive left/right imbalance",opendrop/features/pendant.py:extract_pendant_features; opendrop/fit/needle@61b227b,Adopt concepts for calibrated needle residual diagnostics
OpenDrop,pendant contour and apex,"Largest component; robust circle fit around bowl; inertia eigenvector symmetry; apex arc selection",ordered contour apex axis and direction,"Circle residual median and asymmetry checks",opendrop/features/pendant.py:find_pendant_apex@61b227b,Prototype as initializer and independent contour QA
OpenDrop,Young-Laplace fit,"Bashforth-Adams initial guess; analytic Jacobian; scipy least_squares LM",Bond number apex radius rotation volume area residuals,"Strict tolerances; 50 evaluations; exposes objective and residual vectors",opendrop/fit/younglaplace:young_laplace_fit@61b227b,Prototype initializer and uncertainty/residual reporting
OpenDrop,physical calculation,"Pixel scale from calibration or needle diameter; gamma=delta_rho*g*R0^2/Bo",surface tension Worthington number volume and surface area,"Requires explicit density gravity and calibration",opendrop/app/ift/report; opendrop/fit/younglaplace/model.py@61b227b,Improve unit provenance and calibration gates
OpenDrop,sessile baseline,"Baseline supplied by user/analysis input; no general automatic substrate detector",baseline geometry,None beyond caller validation,opendrop/features/conan.py:extract_contact_angle_features@61b227b,Menipy auto-baseline remains stronger
OpenDrop,sessile contact angle,"Selects near-baseline branches; line fit if residuals <1 px else circle; tangent at baseline intersections",left/right angle curvature and residuals,"Returns independent side residuals and missing-side states",opendrop/fit/conan.py:contact_angle_fit@61b227b,Prototype residual-driven line/circle method selection
Drop-O-Matic,preprocessing,"Manual ROI; grayscale; Gaussian blur; inverse Otsu; largest external contour; every-tenth-point sampling",drop contour,"Fails when no contour or all points lie below baseline",drop_o_matic.py:auto_detect_contour@093ce43,Reject direct adoption; retain as simple comparison baseline
Drop-O-Matic,baseline,"User right-drag line; calculations reduce it to mean y",horizontal baseline ordinate,"A visibly tilted line is not honored by the math",drop_o_matic.py:main event loop@093ce43,Add regression test ensuring Menipy preserves tilted baselines
Drop-O-Matic,contact angle,"Linear least-squares circle or cv2 ellipse; implicit tangent at horizontal intersections",left right and average contact angles,"No residual threshold uncertainty or validity-domain rejection",drop_o_matic.py:fit_circle and calculate_tangents_at_y@093ce43,Reject as primary estimator
Drop-O-Matic,video,"Loads frames and repeats independent detection/fitting",per-frame contact angles,"No temporal association smoothing hysteresis or tracking; manual state is reused",drop_o_matic.py:main@093ce43,Do not use as basis for temporal tracking
Drop-O-Matic,needle and physics,Not implemented,None,No calibration surface tension volume area or pressure,drop_o_matic.py@093ce43,No Menipy improvement
OpenCapsule,image edges,"Multi-scale combined hysteresis; connectivity validation; per-row outer edges; convex ordering and sparsification",capsule contour,"Explicit closed-contour and symmetry processing",source/image.cpp:CombinedHysteresis@7af21a2,Defer; useful for future capsule plugin only
OpenCapsule,capillary,"Cuts capillary-connected portion; measures inner capillary diameter at cutoff; forces attachment symmetry",attachment points and pixel calibration,"Rejects invalid shape/capillary geometry in fitting paths",source/image.cpp:Image processing@7af21a2,Reference for future capillary calibration
OpenCapsule,reference shape,"Axisymmetric Laplace equation integrated by RK4 and fitted to measured contour",pressure density surface tension area volume fit error,"Checks convexity and capillary width; reports fit error",source/capsule.cpp:LaplaceFit and LaplaceRungeKutta@7af21a2,Defer outside current rigid-interface scope
OpenCapsule,elastic shape,"Linear Hooke nonlinear Hooke and Mooney-Rivlin laws; explicit/implicit Runge-Kutta; single/parallel shooting; finite-difference Jacobian",elastic pressure Poisson ratio modulus area compression and profiles,"Discards problematic parameters and detects shooting failures",source/capsule.cpp:HookeFit and SolveHooke@7af21a2,Future isolated elastic-interface plugin
OpenCapsule,wrinkles,"Compressive hoop-stress region plus image wavelength measurement",wrinkle length tension wavelength Foppl-von Karman number and thickness,"Requires axisymmetry; non-axisymmetric wrinkle interpretation remains limited",source/capsule.cpp:WrinklingRegion; source/image.cpp:WrinkleWavelength@7af21a2,Defer and require a dedicated validation dataset
