project,component,pinned_commit,upstream_license,redistribution_category,onnx_redistribution,menipy_decision,evidence,notes
PendantDropMachineLearning,source,9616d05be28315be53f07e4b6b2e2e07528bd10c,GPL-3.0-only,C,n/a,research-reference-only,LICENSE and repository headers,"Copying implementation into Menipy would impose GPL-3.0 obligations."
PendantDropMachineLearning,three bundled Keras H5 checkpoints,9616d05be28315be53f07e4b6b2e2e07528bd10c,No separate model license; treat as GPL-3.0-only,D,No until rights are clarified,do-not-ship,"models/*.h5; no model card or separate grant","ONNX conversion preserves learned parameters and does not create a new redistribution grant."
PendantDropMachineLearning,exampleData/exampleData.npz,9616d05be28315be53f07e4b6b2e2e07528bd10c,No separate dataset license,D,n/a,temporary-research-only,Repository contains no separate dataset terms,"Not retained after the isolated evaluation."
Conan-ML,source,db056cbd2958087070d0623b0e46e183d70baa3c,GPL-2.0-only,C,n/a,research-reference-only,LICENSE,"Do not copy code into the MIT-distributed Menipy runtime."
Conan-ML,bundled TensorFlow SavedModel,db056cbd2958087070d0623b0e46e183d70baa3c,No separate model license; treat as GPL-2.0-only,D,No until rights are clarified,do-not-ship,modules/ML_model plus repository LICENSE,"A converted graph remains a parameter-equivalent copy."
Conan-ML,experimental and sensitivity image sets,db056cbd2958087070d0623b0e46e183d70baa3c,No separate dataset license,D,n/a,temporary-research-only,No dataset-specific license located,"Possible training/evaluation overlap is also unresolved."
OpenDrop,source,61b227b70a92cf2f6e97d9ae20ba7a14fdd41bfd,GPL-3.0-only,C,n/a,clean-room-reference,LICENSE and pyproject metadata,"Equations and published ideas may be reimplemented; source must not be copied."
OpenDrop,documentation and examples,61b227b70a92cf2f6e97d9ae20ba7a14fdd41bfd,GPL-3.0-only,C,n/a,cite-only,Repository LICENSE,"Retain citations rather than copied text or assets."
Drop-O-Matic,source,093ce43024db613174ce4b2b0fd12ba6e683b86f,MIT,A,n/a,eligible-with-attribution,LICENSE,"License is compatible; benchmark quality still blocks adoption."
Drop-O-Matic,example media,093ce43024db613174ce4b2b0fd12ba6e683b86f,No separate media license,D,n/a,do-not-redistribute,No asset-specific grant located,"Source-code MIT terms do not necessarily establish rights to third-party media."
OpenCapsule,project source,7af21a2f120ae29c1c40746f6e18d344190d804e,GPL-3.0-or-later,C,n/a,clean-room-reference,Source headers and LICENSE,"No code vendoring into Menipy."
OpenCapsule,GSL-linked numerical implementation,7af21a2f120ae29c1c40746f6e18d344190d804e,GPL-3.0-or-later,C,n/a,clean-room-reference,Build files and GSL license,"A future implementation should use independently licensed numerical dependencies."
OpenCapsule,Boost and OpenCV dependencies,7af21a2f120ae29c1c40746f6e18d344190d804e,Boost-1.0 and upstream OpenCV terms,A,n/a,dependency-specific-review,Build files,"Dependency permissiveness does not override the GPL license of OpenCapsule itself."
MobileSAM,official source and bundled vit_t checkpoint,checkpoint-sha256:6dbb90523a35330fedd7f1d3dfc66f995213d81b29a5ca8108dbcdd4e37d6c2f,Apache-2.0 repository; no separate checkpoint license located,B,Converted ONNX retained as research assets,proposal-only-with-release-notice-review,Official repository LICENSE and weights/mobile_sam.pt,"Current Python package-data excludes the ONNX files; release packaging requires Apache notice review."
